,Kernel,Training Score,Test Score,Running Time
0,linear,0.8828977317322031,0.8869790440310807,7.281243
1,rbf,0.8828977317322031,0.8869790440310807,22.800917
2,sigmoid,0.7948355702064203,0.801977866729456,17.426198
