,Max Depth,Number of estimator,Learning rate, Size,Training Score,Test Score,Running Time
0,1,100,0.1,100,0.45847515316541865,0.47346938775510206,14.558265
1,5,100,0.1,100,0.6960517358747447,0.5525510204081633,33.593533
2,8,100,0.1,100,0.9993192648059904,0.6607142857142857,54.223065
3,10,100,1.0,100,1.0,0.6479591836734694,71.700283
4,20,20,1.0,2,1.0,0.576530612244898,22.886142
5,50,50,0.1,1,1.0,0.5561224489795918,2.808075
