,Max Depth,Number of estimator,Learning rate, Size,Training Score,Test Score,Running Time
0,1,10,1.0,10,0.8870575308060592,0.8810925359076995,38.733048
1,5,50,0.01,50,0.8890197001805196,0.8812102660701672,64.134139
2,8,1,0.001,1,0.8905109489051095,0.8794443136331528,63.358129
3,10,5,10.0,5,0.8906679224550663,0.8797975041205557,32.218661
4,20,100,0.1,100,0.8954556157287497,0.8783847421709442,40.867597
5,50,100,0.1,100,0.8954556157287497,0.8783847421709442,38.51399
